"cms","date_utc"
20.0399995520711,2023-05-12 22:00:00
20.8099995348603,2023-05-12 23:00:00
21.6299995165318,2023-05-13
22.1599995046854,2023-05-13 01:00:00
22.689999492839,2023-05-13 02:00:00
22.7399994917214,2023-05-13 03:00:00
22.8399994894862,2023-05-13 04:00:00
22.7199994921684,2023-05-13 05:00:00
22.5499994959682,2023-05-13 06:00:00
22.2299995031208,2023-05-13 07:00:00
22.0299995075911,2023-05-13 08:00:00
21.7699995134026,2023-05-13 09:00:00
21.6099995169789,2023-05-13 10:00:00
21.4699995201081,2023-05-13 11:00:00
21.4099995214492,2023-05-13 12:00:00
21.4599995203316,2023-05-13 13:00:00
21.529999518767,2023-05-13 14:00:00
21.3899995218962,2023-05-13 15:00:00
21.259999524802,2023-05-13 16:00:00
21.1399995274842,2023-05-13 17:00:00
21.0699995290488,2023-05-13 18:00:00
21.1599995270371,2023-05-13 19:00:00
21.3899995218962,2023-05-13 20:00:00
21.6999995149672,2023-05-13 21:00:00
22.0999995060265,2023-05-13 22:00:00
22.649999493733,2023-05-13 23:00:00
23.2399994805455,2023-05-14
24.2499994579703,2023-05-14 01:00:00
25.5799994282424,2023-05-14 02:00:00
26.2499994132668,2023-05-14 03:00:00
25.7099994253367,2023-05-14 04:00:00
25.1999994367361,2023-05-14 05:00:00
25.1499994378537,2023-05-14 06:00:00
25.1199994385242,2023-05-14 07:00:00
25.0399994403124,2023-05-14 08:00:00
24.9999994412065,2023-05-14 09:00:00
24.8899994436651,2023-05-14 10:00:00
24.9399994425476,2023-05-14 11:00:00
24.9099994432181,2023-05-14 12:00:00
24.9399994425476,2023-05-14 13:00:00
24.9799994416535,2023-05-14 14:00:00
25.0499994400889,2023-05-14 15:00:00
25.1499994378537,2023-05-14 16:00:00
25.2699994351715,2023-05-14 17:00:00
25.2499994356185,2023-05-14 18:00:00
25.1899994369596,2023-05-14 19:00:00
25.1999994367361,2023-05-14 20:00:00
25.7099994253367,2023-05-14 21:00:00
26.6299994047731,2023-05-14 22:00:00
27.1299993935972,2023-05-14 23:00:00
27.7199993804097,2023-05-15
28.4999993629754,2023-05-15 01:00:00
28.719999358058,2023-05-15 02:00:00
